VARIABLES =      SA                    DA                    DA_kink               AR                    TR                    kink                  rootadj               rtcs_0                rtcs_1                rtcs_2                cambers_0             cambers_1             cambers_2             twists_0              twists_1              twists_2              twists_3              U0                    U1                    U2                    U3                    U4                    U5                    U6                    U7                    U8                    U9                    U0                    U1                    U2                    U3                    U4                    U5                    U6                    U7                    U8                    U9                    tcroot                M30                   M31                   M32                   M33                   M34                   M35                   M36                   M37                   AA0                   AA1                   AA2                   AA3                   AA4                   AA5                   AA6                   AA7                   
    718         34.2218144506          4.7507814414          3.2983900094          8.4228802899          0.3713131242          0.3680909019          0.3371897091          0.6771004160          0.9212890633          0.9614129241          0.3995878482          0.7424210919          0.3008708020         -3.7310451935         -3.4896846613         -2.1136057050         -2.0557058523          0.1704285128          0.0909721350          0.2052123606          0.0856754564          0.3052615351          0.0262440409          0.3058252221          0.1336520220          0.2680763340          0.2705445893         -0.1383190153         -0.0347646408         -0.2382263305          0.0554534769         -0.3431242838          0.0195315659         -0.2047154215         -0.1005022807          0.0783155932          0.2483789719          0.1696397458          0.8063702767          0.8122116285          0.8015340340          0.8201705918          0.8128792371          0.8180973262          0.8136366686          0.8056235466         11.8697402846          3.6936869660          2.4790309077          9.3753842236         10.7612790965          3.2166009572          4.5614558664          7.6525673500 
    719         39.9361105315          5.8177156766          1.6712507615          8.1785349363          0.3663283551          0.3748739066          0.7271016744          0.6073616595          0.9462273941          0.9373065590          0.5548593899          0.5492652218          0.5950155344         -2.9545909114         -2.1260163301         -2.0826085465         -1.3063562144          0.0981942519          0.1032546449          0.2668151677         -0.1946945281          0.8840352301         -0.6525043221          0.8185060782          0.0376250968          0.3535073407          0.2136392797         -0.1501428746         -0.0447921757         -0.2579444229          0.0602843647         -0.3726738695          0.0212168698         -0.2253139021         -0.1033769265          0.0859285594          0.2698421548          0.1650383342          0.8101026330          0.8234366790          0.8183830653          0.8000708335          0.8090839666          0.8049729289          0.8174701998          0.8069509468          6.7417650156          6.9494770076          7.5506280814         11.7727665045          3.3698499261          6.2072335163         10.7754646311          9.4077375500 
    720         34.0142511036          5.4416791860          0.9057454130          9.1928345406          0.1828479844          0.4128669792          0.2375666151          0.6391305337          0.9572677081          0.9787811009          0.6057811182          0.5464999497          0.2811384336         -3.2888323680         -3.3704517776         -2.9149347939         -2.1750675797          0.1651056935          0.0961506249          0.1926040355          0.0583918618          0.2868133898          0.0267997624          0.2868735171          0.1153389818          0.2598307895          0.2588702525         -0.1336797947         -0.0409759925         -0.2287313236          0.0509199422         -0.3301970207          0.0168774688         -0.1994461612         -0.0918104771          0.0751987560          0.2383811704          0.1690401306          0.8160051855          0.8234397064          0.8210538892          0.8101623825          0.8107823026          0.8229011233          0.8119634128          0.8045562493          7.3706305000          7.9314241817          5.4280969832          8.5844861978          2.3618160526          8.7447494613          7.6404994117          4.9193855943 
    721         29.1961111769          4.2479644553          3.9115195438          9.0812999411          0.2920894283          0.4145902991          0.4074135045          0.6725962352          0.9497395423          0.9338212327          0.5065060006          0.6537073949          0.3921423015         -2.8242974746         -2.7908468021         -1.3854955462         -2.8047599224          0.1791211965          0.0780971014          0.3343202912         -0.0826033311          0.4521214854         -0.0489899803          0.3751680969          0.1448963180          0.2647763324          0.2506353764         -0.1502500159         -0.0447919768         -0.2586214918          0.0606399170         -0.3736520875          0.0214573111         -0.2261005938         -0.1033297663          0.0861540071          0.2717794314          0.1666838620          0.8226620680          0.8090172616          0.8130609286          0.8000620809          0.8219241417          0.8140825491          0.8132287181          0.8211154673          7.1230537994          4.3559431448          4.5958101239          2.9535730891          8.1216339730         10.9310713608         10.3678689244          3.1464161734 
    722         26.7192675669          5.3733002143          4.8304340215         10.5609400039          0.3076487940          0.4155405694          0.4644940670          0.6483313916          0.9040842842          0.9856383406          0.7333143390          0.7654159675          0.7388961351         -3.8459546437         -2.5851793979         -2.3535248222         -2.9994923828          0.1686154985          0.0954226486          0.2047577252          0.0478485102          0.3059398318          0.0155358016          0.3102383966          0.1198278811          0.2607102918          0.2645567037         -0.1367810865         -0.0409028700         -0.2348785171          0.0544467632         -0.3392529774          0.0189831589         -0.2050541753         -0.0941285926          0.0781699630          0.2454720240          0.1673845349          0.8226364345          0.8020930780          0.8197461644          0.8098613969          0.8095892942          0.8172996796          0.8187176658          0.8101271719          6.8779430859          4.3231603910          3.1864024099          7.1978700548          8.9005912730         11.5406365626          6.3485929877          2.5330261998 
    723         31.1134882964          4.9124000815          3.0998731893          9.0296048451          0.2468441859          0.4166451920          0.2076927426          0.6690990336          0.9564388369          0.9374627204          0.4715775713          0.8443599057          0.6608411178         -3.1092016393         -3.4442515198         -2.6022245982         -2.1256725692          0.2418034391          0.0767191262          0.2651800143          0.1131504012          0.1312375724          0.3174690283          0.0698779963          0.3222547176          0.3195782664          0.4374930371         -0.1505557950         -0.0438881805         -0.2582317981          0.0602843647         -0.3726738695          0.0227377548         -0.2257243536         -0.1039960050          0.0857394663          0.2697378660          0.1666348103          0.8068925832          0.8002328511          0.8122687710          0.8143484958          0.8052153429          0.8133727265          0.8206739801          0.8175875377          9.8588920722         10.4304194975          9.0333462903         11.2834726615          2.8092983547          5.4611382561          5.1583067906          8.6495315514 
    724         36.3624892013          4.5107686660          5.1592308832          9.8014503984          0.3085150425          0.3753459634          0.5811103627          0.6569188810          0.9108223157          0.9418580237          0.5059595769          0.7022969292          0.6866166930         -2.4200370884         -3.6644779349         -1.4706314976         -1.1844962069          0.2417966613          0.0767191262          0.2651800143          0.1131504012          0.1312203743          0.3174690283          0.0698779963          0.3222547176          0.3195717370          0.4375221435         -0.1505511044         -0.0438983528         -0.2582317981          0.0602843647         -0.3726738695          0.0227222388         -0.2257197366         -0.1039890388          0.0857415930          0.2697378660          0.1648065683          0.8044078780          0.8189074591          0.8022609390          0.8156782963          0.8019133120          0.8190396774          0.8099513424          0.8178078079         10.6436225152          3.8807441567          3.9801853120          7.7593148251          9.1101193408          7.9431713419          4.8338158482         10.8270818537 
    725         27.4492514450          4.0391057505          1.0587184062          8.1182964728          0.3981618785          0.3872286270          0.3479500724          0.6889343293          0.9433300518          0.9366974734          0.7241968365          0.6339600833          0.1971493592         -3.6547654265         -3.0431065916         -1.8019079622         -2.6019251985          0.2493844912          0.0815562131          0.2788615688          0.0859649474          0.0969396917          0.3835398726          0.0432266594          0.2874124767          0.3240559508          0.4520159694         -0.1510438624         -0.0449745359         -0.2614120938          0.0602989118         -0.3741268118          0.0262015161         -0.2271164549         -0.1027086901          0.0863445597          0.2959122855          0.1681493251          0.8198412827          0.8221056862          0.8227409297          0.8039084053          0.8027919883          0.8087104653          0.8105767963          0.8244319423         11.0338596502          6.0369899723          5.0819564342          6.5419909791          8.9392382978          4.8451344660          5.3886168645         11.0198893203 
    726         29.1106112519          5.4843283640          3.9310398218         10.4792923409          0.1642736823          0.4015009815          0.4456014883          0.6650915403          0.9560933428          0.9756475707          0.4973071462          0.7626177603          0.0160191374         -3.5611927141         -3.6042011685         -2.6127704770         -2.2138952433          0.1580216361          0.0977918501          0.2533055030          0.0647044668          0.3348712865          0.0549347440          0.3789834790          0.2169646387          0.2968399759          0.3254307759         -0.1627245604         -0.0487129911         -0.2794397914          0.0653857374         -0.4037300253          0.0229849423         -0.2442804363         -0.1119916704          0.0930891614          0.2926318469          0.1642761705          0.8204508669          0.8040571736          0.8054400019          0.8075798994          0.8159204460          0.8100393605          0.8185457429          0.8184525365          9.0647383573          2.5112631222         10.4363011612         11.6202955308          4.5583507036          7.0234083726          9.3070320612          9.7644712524 
    727         37.7478095893          5.5656446566          4.1460693904          9.7323463430          0.2663985937          0.4120682415          0.6002626405          0.6009799823          0.9387200038          0.9855199194          0.5537888723          0.6530978093          0.3314359415         -3.5350648630         -2.1135552961         -2.2485962439         -1.4900390952          0.1577757628          0.0730059366          0.3290884335         -0.2414385401          0.8289736305         -0.6456098552          0.9105335751         -0.2342530883          0.2601546602          0.2398452089         -0.1376273717         -0.0410594944         -0.2364343274          0.0552606676         -0.3416177137          0.0194487974         -0.2068290282         -0.0947621826          0.0787677519          0.2472140672          0.1645785595          0.8242022748          0.8178622143          0.8131268853          0.8225625694          0.8017666372          0.8000980381          0.8201496164          0.8176541340          6.4511204014          7.9135125255          2.9047212841         11.0930206307          2.3203763656          5.4779616078          9.5474706989         10.6378365978 
    728         39.4407101223          4.2762702191          2.0180394979         10.1534246086          0.1725890694          0.3985261404          0.8175307389          0.6361620718          0.9383652097          0.9817274794          0.5358528443          0.7360967041          0.7314412489         -2.8616324152         -2.1192341439         -2.2426744805         -2.1421226269          0.2625218584          0.0833713070          0.2524144489          0.1710933710          0.0322281447          0.3948902017         -0.0218856702          0.3676314130          0.3138700527          0.3967859938         -0.1537024543         -0.0448056264         -0.2636766414          0.0601613823         -0.3761268753          0.0202545615         -0.2233320868         -0.1034005452          0.0834148317          0.2703203336          0.1693244316          0.8078000176          0.8157251460          0.8115386526          0.8198913410          0.8195212794          0.8207230045          0.8077933234          0.8193451152          2.0093774176         10.0555261150          9.1316140106          2.2511892286          2.2939384199          5.2934833218          5.0508259266          2.4269797373 
    729         32.0286778681          4.3263683371          1.0223521738          8.2691537532          0.3579537375          0.3881842044          0.3277158811          0.6831372874          0.9028508130          0.9825710063          0.3749489855          0.8809573046          0.4071118258         -2.0671921496         -2.7267707228         -1.9972738957         -1.1186868824          0.2510219346          0.0693737448          0.2524144489          0.1710933710          0.0322281447          0.4229559771         -0.0224934050          0.3709069172          0.3169865140          0.4163352974         -0.1502941924         -0.0448056264         -0.2578170447          0.0601613823         -0.3724711069          0.0210671699         -0.2256728860         -0.1029567692          0.0859195174          0.2713488174          0.1678775888          0.8051007896          0.8242816956          0.8171355207          0.8142129535          0.8087212777          0.8035891095          0.8104124891          0.8077156883          4.9141699392          2.0923900901          5.0878155903          3.7498991011          8.6958935749          8.0877250284         10.7786833839          7.9869276354 
    730         29.4307595397          4.1430273257          3.0934827523          9.6024180902          0.2248820790          0.3754440568          0.4226580472          0.6761703624          0.9356418095          0.9447372960          0.6110000038          0.9564132430          0.3936835021         -3.6337381426         -2.7341271120         -1.0248839526         -2.4411039620          0.2448553702          0.0747847795          0.2685905110          0.1114317002          0.1275704009          0.3148990449          0.0689184735          0.3250295153          0.3241964527          0.4456687388         -0.1507843269         -0.0420394200         -0.2635496108          0.0670425085         -0.3782922718          0.0255109438         -0.2283660753         -0.1042807477          0.0899378452          0.2755985166          0.1683163990          0.8015977023          0.8089702884          0.8159782465          0.8002618921          0.8044751554          0.8124772160          0.8039062545          0.8072394262          9.5469988497          5.8701505077         10.5193170135          9.4223934778          8.6264962939         10.5973901129         10.2089282367          3.9426955541 
    731         35.1954882162          5.9597542285          1.4999584412          8.7255687062          0.2667892984          0.3781906103          0.2717086805          0.6100201752          0.9183814839          0.9364815814          0.4652622148          0.6574343732          0.6654685896         -3.1470343416         -3.4231147676         -2.1051650387         -1.6223729368          0.2523392743          0.0671951638          0.2341483284          0.1928335622          0.0252715650          0.4070390160         -0.0334842803          0.3711756469          0.3099903425          0.4394353770         -0.1501389510         -0.0643793457         -0.2579444229          0.0727835502         -0.3725278005          0.0212168698         -0.2258325264         -0.1033769265          0.0859284567          0.2710036518          0.1680931479          0.8093936741          0.8181880629          0.8020647329          0.8222366595          0.8172345814          0.8155212482          0.8077909795          0.8199825592          5.8389130912         10.4192473850          3.4812764575         11.9382352988          3.0314066625          2.0127639890          2.6108190759          7.7343604282 
    732         38.4931753244          4.7735293438          2.0314577914          9.0507184451          0.1988737584          0.3945134695          0.4275183008          0.6166058515          0.9791755546          0.9572468031          0.7979001988          0.8550294274          0.5062551270         -2.6406937210         -2.6006055550         -1.5441524631         -1.8116955055          0.2427463056          0.0716569040          0.2412109676          0.1746765919          0.0252715650          0.4429872758         -0.0255550506          0.3741005689          0.3169138393          0.4209419347         -0.1437294185         -0.0416036546         -0.2518580403          0.0701303761         -0.3628630630          0.0227333213         -0.2258325264         -0.1078981003          0.0859284567          0.2657954312          0.1684347997          0.8177778844          0.8218285612          0.8191530925          0.8247308090          0.8188749926          0.8192671389          0.8048571677          0.8243214262          5.4755520356         11.0562677681          6.1523405303          7.0539255108          9.1876282626          6.2411572558          5.9517539863          8.2580781675 
    733         39.7725104243          5.4287125873          1.8343322391          9.5844175289          0.2156295269          0.4004586920          0.2903749735          0.6051312689          0.9626409698          0.9859351057          0.5441760085          0.5072561967          0.1587909144         -2.9718425026         -2.7222694274         -2.2015603282         -2.1359316966          0.2515880075          0.0673584528          0.2322898929          0.1932727895          0.0247929320          0.4062544201         -0.0334842803          0.3711756469          0.3099903425          0.4381869939         -0.1488754346         -0.0635435013         -0.2578645004          0.0727835502         -0.3725278005          0.0212168698         -0.2250365328         -0.1029207373          0.0859284567          0.2710036518          0.1655625944          0.8191411588          0.8052352173          0.8088564558          0.8023089806          0.8179328021          0.8249187765          0.8043350081          0.8046321183          4.7980985598          9.9699139799          8.3487403575          7.5989452716          3.4496129841          3.6114553892          5.9872389338          4.8251929264 
    734         26.2105276531          4.6526987095          1.6561698550          8.1107156746          0.2189499908          0.3842434006          0.0113476839          0.6511078069          0.9053081662          0.9289614833          0.3896634923          0.6352590548          0.2149834006         -3.3057952430         -3.1011096920         -1.3267713085         -1.7020604121          0.2092020337          0.0967095732          0.2936703493         -0.1137429054          0.7098752156         -0.5028817822          0.7554429665         -0.1084222142          0.3428421778          0.3506129220         -0.1494901171         -0.0441653584         -0.2568297016          0.0600238424         -0.3710633384          0.0214162183         -0.2243403308         -0.1020280483          0.0853771859          0.2682869062          0.1650979055          0.8030689586          0.8155576380          0.8183670667          0.8068508498          0.8112657390          0.8201483822          0.8054863202          0.8056221038          5.1398541584          4.3953953764          8.2343981732          5.8387356410          2.9577100924         10.6621826084         10.7040677697          4.5436910412 
    735         28.5917609150          5.6913155253          5.2238178228          9.3454428783          0.2970800445          0.3768337235          0.5118397580          0.6138864769          0.9641247962          0.9566335434          0.7347317679          0.8679024261          0.4907767016         -3.5633160395         -2.8759744247         -2.4095572873         -2.9557823313          0.1591509440          0.0977520800          0.2534228156          0.0740105665          0.3168958889          0.0776540298          0.3665766618          0.2224678387          0.2969899426          0.3305443192         -0.1634198190         -0.0487541697         -0.2807614588          0.0656207826         -0.4056395486          0.0230936543         -0.2452444896         -0.1125213578          0.0935293612          0.2937116305          0.1691858278          0.8048157200          0.8245627930          0.8129415781          0.8012475428          0.8125938008          0.8090736436          0.8178981554          0.8144614183          5.2208430005          4.9831999217          2.7823868837          8.5963450585         10.4203745585          7.6718280521          4.1740952753          2.4664788634 
    736         36.8245083407          4.6540146075          4.7719629998          8.2557900266          0.3918041218          0.3913582174          0.4181872699          0.6977658510          0.9458191646          0.9606817915          0.5396374816          0.5847413727          0.2977160280         -3.7334544576         -3.0252842547         -2.1390550406         -2.7815543631          0.2497440190          0.0934726084          0.2385420873          0.0836190571          0.2212740731          0.2131221553          0.1553778190          0.2746170311          0.2771524517          0.3673774810         -0.1501448888         -0.0447921757         -0.2579444229          0.0595862479         -0.3726738695          0.0212168698         -0.2236766535         -0.1023600126          0.0859284567          0.2683967670          0.1659233618          0.8086864715          0.8092106272          0.8047150363          0.8127390020          0.8221451301          0.8202507245          0.8248780060          0.8140384318         11.6506007138          8.1941595794          8.1537339604          3.9830576619          8.5995568143          7.9758311266          5.8988489849          5.6703639496 
    737         25.9031733594          4.5637961482          5.9757190257         10.3718741040          0.3608078640          0.3917371080          0.2501707197          0.6427526404          0.9688043982          0.9417085469          0.3866408600          0.8023222890          0.4452031672         -3.7146222604         -2.7937303694         -2.5983546106         -1.4367880770          0.1991413529          0.1515341961          0.0609046416          0.3086785652         -0.0026092060          0.0326872436          0.5579898826         -0.2332455607          0.4724394364          0.2546692694         -0.1230153183         -0.0284360042         -0.2178447235          0.0831110319         -0.3237473916          0.0232658087         -0.2057200917         -0.0890321761          0.0916480230          0.2515491144          0.1688809934          0.8178440782          0.8194706075          0.8141267126          0.8010686031          0.8062541684          0.8133723955          0.8158224967          0.8182313559          9.6462954106          9.8614381519          8.7032918509          6.9218449081          3.6210710775         10.3919271932          9.4677920236          9.4524941196 
    738         25.7284157681          4.0820045597          1.2726046823          8.8683596599          0.2919805030          0.3878601790          0.4809228384          0.6207845969          0.9042259291          0.9401043435          0.4226994050          0.9814048361          0.3033964755         -2.6028778143         -3.7648240280         -2.0594017774         -1.2753604696          0.1789755692          0.1378573071          0.0486758251          0.2769780114          0.0497503815         -0.0282914238          0.5683171315         -0.2359412697          0.4977257110          0.2303573608         -0.1151236015         -0.0388006212         -0.2203971330          0.0497014137         -0.2795596144         -0.0025725923         -0.1818062794         -0.0773150453          0.0760628348          0.2137583302          0.1653407141          0.8247877964          0.8084931271          0.8176512696          0.8076316412          0.8173882922          0.8224429663          0.8098542476          0.8011147429         11.3378211814          4.7837658595         10.2149258320          6.7194732168          7.9892381783         10.7383006436          3.2071034998         11.2521845618 
    739         25.5363326825          5.7301965705          5.2704654823         10.6776197269          0.3937194622          0.3875189613          0.4693887685          0.6781174248          0.9081537448          0.9583264732          0.7761580148          0.7257575280          0.3067226197         -2.8803864961         -2.0522493479         -1.7291912594         -1.5245131149          0.2495313868          0.0947852632          0.2370211860          0.0848101134          0.2212740731          0.2131221553          0.1553778190          0.2741707337          0.2771524517          0.3673774810         -0.1501389510         -0.0447921757         -0.2579444229          0.0600780670         -0.3726738695          0.0212168698         -0.2236090146         -0.1011001525          0.0859284567          0.2698421548          0.1692095194          0.8242630144          0.8161668882          0.8019122906          0.8199265628          0.8050143217          0.8010766069          0.8184449636          0.8101043830          7.0243880747          8.3058523854          6.5512515847          5.4978669999          9.8358996655          7.6171101546          3.9239144617          8.9983044663 
    740         27.0246189095          4.7665601713          5.2142565154         10.5533784267          0.3927765214          0.3722621677          0.6293140818          0.6812608322          0.9640795935          0.9617485592          0.3942297140          0.9876101029          0.3421847522         -2.3230094577         -3.0799985600         -2.0712052278         -1.8335080658          0.1903192470          0.1548380342          0.0452392421          0.3205072121         -0.0019653774         -0.0049338763          0.6024133453         -0.2713636797          0.4856877117          0.2375642884         -0.1196207448         -0.0286185543         -0.2112064272          0.0810646831         -0.3150619104          0.0201163611         -0.2008189090         -0.0859932399          0.0903313634          0.2450700822          0.1681749427          0.8113786043          0.8067483126          0.8186831237          0.8118480942          0.8080813263          0.8225800096          0.8247399123          0.8203669172          4.6173986687         10.2670133277         10.8161377994          4.1360696688          7.7876944994          7.6113753197          9.4658883121          2.1409525301 
    741         31.8418228197          5.9228335410          2.0814124369          8.8441010112          0.2108983173          0.3610459115          0.1507295247          0.6449678764          0.9696546865          0.9392200922          0.3595339324          0.8740554157          0.1054202966         -2.2784139986         -3.8115483284         -1.7182802422         -1.8099724979          0.2495313868          0.0934062268          0.2368966083          0.0822905364          0.2212740731          0.2131221553          0.1553778190          0.2741707337          0.2771524517          0.3673774810         -0.1511023560         -0.0447921757         -0.2579444229          0.0602947973         -0.3731708591          0.0194908606         -0.2237956303         -0.1024766467          0.0859284567          0.2698421548          0.1687781369          0.8208447105          0.8008975896          0.8015210053          0.8053364386          0.8214695705          0.8059253155          0.8185540138          0.8247907399          4.1282693787          2.6876328872          7.8938090924          5.0212404508          6.4370041824          6.0493762592          7.1905437765          2.2972916625 
    742         37.7357327053          4.4877775748          1.6874264401          8.2385932841          0.3956975556          0.4015598346          0.4698081875          0.6547502405          0.9789987896          0.9567508359          0.5719471237          0.9665250455          0.5005742446         -2.3293237843         -2.6616074946         -2.6776437495         -2.7760535941          0.1721075225          0.0943810085          0.2127433521          0.0471806995          0.3065308544          0.0214364393          0.3129552361          0.1318026375          0.2575689970          0.2781629558         -0.1388674758         -0.0413398998         -0.2385796003          0.0557585990         -0.3446958915          0.0206479705         -0.2083106451         -0.0956160460          0.0794037121          0.2495841263          0.1692915822          0.8082973624          0.8159087379          0.8202217769          0.8040015602          0.8126705106          0.8181897574          0.8068723639          0.8078431527          2.7208247845         11.5945499680          5.7598494877          4.3381635301          7.0577430257          8.0342976109          2.0174030261         11.8773720446 
    743         37.6621786538          5.8049017498          5.9531540272          9.9229600824          0.3132671974          0.4069628035          0.5183425224          0.6839428379          0.9413662532          0.9833996925          0.3253806506          0.9756298028          0.5354985003         -2.8574874312         -3.9050751978         -1.7629851557         -1.9516447165          0.2495313868          0.0934726084          0.2369026050          0.0824118194          0.2212740731          0.2131221553          0.1553778190          0.2741707337          0.2771524517          0.3673774810         -0.1510559813         -0.0447921757         -0.2579444229          0.0602843647         -0.3731469359          0.0195739442         -0.2237866473         -0.1024103874          0.0859284567          0.2698421548          0.1686262122          0.8028958442          0.8005135252          0.8076388016          0.8060245415          0.8093680823          0.8185418148          0.8072533438          0.8135170905          8.3175952540          4.3020416844          7.4465256701         11.4630426170          3.5121523605          8.0333146769          9.6546722179         10.5099953466 
    744         30.3262387596          4.2972451961          2.3144712159         10.1332470860          0.1736221342          0.3969615449          0.2287710174          0.6642955928          0.9064834958          0.9202930998          0.5658624437          0.8205534965          0.1537807350         -3.4838881432         -3.8958960788         -2.0258928768         -2.6160183207          0.1708595606          0.1456014928          0.0241356664          0.3105127688          0.0193775655         -0.0491642630          0.6130644022         -0.2952142856          0.5000000000          0.2174795374         -0.1120478219         -0.0392962903         -0.1838565159          0.0455611327         -0.2787353397         -0.0079594320         -0.1742591841         -0.0739586463          0.0657156334          0.2064296239          0.1666546968          0.8210303360          0.8130466400          0.8071087772          0.8058809978          0.8069978953          0.8219124228          0.8099392857          0.8091574510          3.3348339624          5.0510935020          4.8628852863          3.6564536141          3.5530257640          8.7352215361          5.9230664645          2.8161854814 
    745         26.8356458566          4.3452459109          2.3639818990         10.5673904682          0.3093924664          0.3973194051          0.6472556134          0.6228842080          0.9043839256          0.9633382755          0.4344885061          0.6070578217          0.6901785338         -2.0451101847         -2.9319943361         -2.6897450198         -2.9657192065          0.1301400125          0.1252740823          0.2204559008         -0.0204277058          0.3888609525         -0.0157115224          0.3411484075          0.0814482148          0.2402508630          0.2641709274         -0.1374717216         -0.0412576440         -0.2364490543          0.0552614074         -0.3416177137          0.0194487974         -0.2062356355         -0.0947621826          0.0787083337          0.2461666000          0.1650233931          0.8121344537          0.8010912061          0.8035894486          0.8220555430          0.8102459872          0.8160713968          0.8127875710          0.8188096022         11.3001501807          3.2147698336          5.5667940551          6.3876118213          2.1835906106         10.5936567449         11.2517614014          8.2501713361 
    746         32.5914934141          5.1140804195          0.5796962263         10.2006587724          0.3792102671          0.3942016022          0.6272252031          0.6580039769          0.9449977966          0.9894928253          0.6787026977          0.9605598941          0.7596580248         -3.7731346355         -2.1296454263         -2.4903183029         -1.8021214655          0.1301400125          0.1252740823          0.2204559008         -0.0204277058          0.3888609525         -0.0157115224          0.3411484075          0.0814482148          0.2402508630          0.2641709274         -0.1374888092         -0.0412576440         -0.2364490543          0.0552614074         -0.3416177137          0.0194487974         -0.2062356355         -0.0947621826          0.0787083337          0.2464551712          0.1658187390          0.8010787142          0.8028156179          0.8005725829          0.8201983037          0.8176519806          0.8206761151          0.8236079322          0.8249453002          6.5457389934          3.6934811855          3.8736400661          8.0032980597          9.1153794500          2.1947759395          5.7668707333         10.9821511428 
    747         27.3969830895          4.3703480082          4.6213680616         10.1406147928          0.3340945738          0.3704381783          0.2652612581          0.6961316823          0.9645506174          0.9291853191          0.3814384024          0.5336284212          0.1304080316         -2.0254033455         -2.6137513610         -1.5683589249         -1.3158206813          0.1867500508          0.1451806429          0.0425330160          0.3127492612          0.0874346820         -0.0515690298          0.6285694452         -0.2888626129          0.4902230856          0.2091320563         -0.1235525381         -0.0407012434         -0.1955866860          0.0725394865         -0.3081811129          0.0039425669         -0.2068304393         -0.0829115764          0.0837541940          0.2359893207          0.1646239222          0.8230420794          0.8063852528          0.8080338734          0.8199580497          0.8107361999          0.8070260009          0.8211264480          0.8223924352          3.8000821483          8.6757875486          7.9939727831          3.3266984795          4.1380636536          2.2458549709          6.9532084870          9.7698367496 
    748         29.2874400875          4.6647065446          4.6022372529          9.3543350494          0.3232716133          0.4099259194          0.5633265062          0.6609784209          0.9153836824          0.9526827297          0.6710524845          0.9252424333          0.0630984316         -2.9989687093         -3.4964566367         -2.0432508272         -1.6030785211          0.1780653280          0.1392137383          0.0788829148          0.2676578482          0.0674667178         -0.0087932952          0.5609142706         -0.1933481013          0.4743582447          0.2399212452         -0.1204518305         -0.0120761540         -0.2024957471          0.0666799994         -0.3105651235          0.0024407238         -0.2024697199         -0.0839655862          0.0718188348          0.2217429791          0.1679702649          0.8213730085          0.8094598034          0.8193585834          0.8042657297          0.8116338485          0.8146642510          0.8116750345          0.8064837119         10.8555761569         10.1798906352          9.3492412804          3.6219143365          8.7059781004          2.9904564344         10.2680496068          6.9602243402 
    749         36.1299609040          5.4636718569          1.3789759181          9.1203523315          0.3000273092          0.3703086177          0.5770365164          0.6347380803          0.9523831380          0.9801937626          0.6522158746          0.8923679017          0.3544129317         -3.9712300905         -3.7998465767         -2.9205694332         -2.8838547786          0.1780252655          0.1378573071          0.0476365421          0.2739007220          0.0500929047         -0.0257913389          0.5660583742         -0.2366500547          0.4881610497          0.2282457904         -0.1154142207         -0.0401630856         -0.1904790670          0.0477308254         -0.2857443624         -0.0028278411         -0.1812335778         -0.0783437296          0.0687067652          0.2142449407          0.1662129967          0.8172999875          0.8216308250          0.8222352051          0.8131408790          0.8053814517          0.8209584417          0.8128668513          0.8054377428         10.6606681266         10.6412381477          7.0349552182         10.2965604663          6.9180718505         11.0483446634         10.1193499239          8.6715447623 
    750         30.1508023537          4.2368970401          4.4722641508         10.4449955567          0.3429787389          0.3736500075          0.5333282810          0.6596097362          0.9211224063          0.9714539273          0.3881033564          0.5856778288          0.0932938797         -2.4569703236         -2.5283280768         -1.1216585939         -1.5578862453          0.1769425484          0.1378573071          0.0490012322          0.2766471157          0.0509463436         -0.0298723545          0.5683171315         -0.2366500547          0.4884480281          0.2291635519         -0.1154142207         -0.0388006212         -0.1910970703          0.0485434312         -0.2879129520         -0.0028278411         -0.1795695148         -0.0773150453          0.0687067652          0.2135618438          0.1666169669          0.8068476356          0.8128238624          0.8050630666          0.8231863608          0.8211652868          0.8071682444          0.8078361831          0.8147529858         11.8990762721         11.7173456033          2.9731683012          8.2133561400          2.7632734622          8.1710364873         10.6458112000          4.2355092938 
    751         33.8077036395          4.5848483362          2.5202138563          9.6726882652          0.1761932068          0.3818622553          0.4499271085          0.6500887222          0.9120736567          0.9561167761          0.3320053031          0.5566625166          0.5086518757         -3.6569696218         -2.5911910098         -2.5765104011         -1.7836074236          0.1648682937          0.0912531156          0.2021312800          0.0708064950          0.2774892582          0.0599741879          0.2885941460          0.1330199195          0.2481003006          0.2664904214         -0.1360915343         -0.0417020011         -0.2364490543          0.0554368988         -0.3417248954          0.0194487974         -0.2066516918         -0.0947621826          0.0777802715          0.2473553085          0.1646571499          0.8030570550          0.8218811737          0.8244902581          0.8001942763          0.8050727567          0.8179738576          0.8249923207          0.8106495590          6.0693475129         11.0218806809          7.9348974636          3.9456744886          3.4154511089          8.4067236596          5.0026599214          6.1351244832 
